호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
2호선,양천구청,26,1,5309,1215,12083,2642,31705,5744,28857,10398,18693,7087,12947,5902,11708,5866,12318,7297,10344,8669,8977,9204,8347,11009,9323,13492,10154,16993,9569,25106,5378,25425,3552,16116,3137,14756,2915,14185,997,11609,169,4142,0,64,0,0,0,0
2호선,신정네거리,63,2,9298,2287,15022,4706,45284,5396,41945,11543,25743,8811,16863,7853,15237,8381,15209,9850,13831,11546,12294,12479,11366,15410,13153,19366,14480,26293,13317,38026,8809,36287,6716,21917,5496,19392,4534,18881,2077,13431,301,3719,2,233,0,0,0,0
2호선,용두(동대문구청),12,3,1165,151,1660,1089,5146,2796,7476,6313,4088,3601,3611,3372,4006,3821,4052,3577,4565,4391,4300,4221,4752,4522,4965,4660,5213,4902,6270,6855,3285,5647,2373,3214,1780,3419,1350,2775,538,2051,80,515,0,4,0,1,0,0
3호선,지축,2,0,342,725,1771,3267,5172,1884,5529,2267,3495,1981,2498,1835,2055,1818,2087,1538,1872,1712,1922,1923,2448,2399,3212,2940,3376,3133,2345,4849,1311,4300,753,3109,393,2476,200,1952,125,1150,33,131,0,0,0,0,0,0
3호선,구파발,126,4,10391,1871,31734,20149,91958,18894,85318,28021,46371,28253,32143,25325,28335,22976,28626,23847,29288,25085,27117,25531,29642,28598,38540,34911,41609,39553,34034,61657,23442,61589,18300,38462,15570,35189,13699,34494,4058,25017,535,8655,2,202,0,0,0,0
3호선,연신내,271,10,30926,2252,58930,15858,153284,33255,180137,42641,104223,44929,72967,39808,65210,38780,69121,42293,65704,49058,58757,53646,59661,62957,73193,79380,68824,93288,63748,139230,46149,146395,37500,92567,33546,82765,29872,79923,15512,55943,2479,19072,0,7,0,0,0,0
3호선,불광,28,1,11662,1599,23207,8709,62230,12107,72716,35794,42728,38232,30962,30355,28330,28244,29305,30277,32219,36644,30431,33945,31032,35084,34420,41637,36168,46239,38133,65672,24113,62571,18715,37916,16789,33770,12543,32620,5417,21452,852,6542,0,2,0,0,0,0
3호선,녹번,56,2,8400,2079,19756,14973,54165,8339,61715,16685,36021,12523,23390,9328,20325,9135,20168,10374,18493,12217,16695,12295,15990,15262,19621,20734,24208,24861,19920,37160,10952,39291,7890,25296,6198,24026,4654,23289,2154,15677,256,4260,0,0,0,0,0,0
3호선,홍제,59,2,10723,1573,26113,11774,68079,14266,78971,29860,50732,24468,35759,22150,33464,20253,33682,22211,31494,24883,28847,26537,29199,30631,32051,37731,33648,43068,33688,59228,19538,58638,16588,36631,13737,35036,10344,33378,4704,21949,580,5989,1,1,2,2,0,0
3호선,무악재,22,0,2317,220,5702,2757,15340,3452,17660,5577,10788,4097,7843,3984,7115,3797,6414,4249,6292,5031,5099,5609,5000,6562,5593,8183,6494,9532,6784,13269,3817,13180,2866,8912,2298,8554,1734,8344,671,6001,108,1712,0,2,0,0,0,0
3호선,독립문,127,1,5482,724,7661,6929,18680,17431,23302,21452,16909,20067,13605,18120,13572,12778,16165,12133,15354,14213,15920,14227,17742,14086,21632,14824,18442,17241,18786,18911,10267,17213,7612,11252,6496,10087,5066,9834,1512,6929,245,3246,2,1073,0,0,0,0
3호선,경복궁(정부서울청사),66,1,3232,1742,6694,15156,16303,49461,24737,128389,24317,81395,19927,59724,26411,51813,33009,48092,41941,48443,47738,40846,56320,35293,68955,33958,75184,37371,114294,42124,51598,33586,41555,16781,46806,14285,33658,13059,13457,8326,1784,2487,3,51,0,0,0,0
3호선,안국,26,1,2239,2142,4007,21369,7241,106703,10808,119934,12223,85074,13963,66671,23160,65391,34842,56838,42827,52722,49624,49250,57512,40058,73039,37088,96116,33886,134627,32431,60726,17889,47937,9332,47150,7041,30905,6771,9848,4466,1134,1390,0,2,0,0,0,0
3호선,종로3가,50,3,776,869,1398,6089,1730,13893,2971,48524,4701,49942,7156,34968,9565,27899,10889,27230,13214,27652,15001,26715,19659,25310,19937,21385,25708,21454,44915,22559,41076,15061,19160,7305,20148,5411,14139,4391,6923,3203,859,1174,0,17,0,1,0,0
3호선,을지로3가,5,0,784,970,1170,8614,2425,31148,4183,75348,7387,38329,9281,19921,10833,16629,11566,15168,14201,15680,16305,13788,18072,13448,18944,13626,29673,14248,60194,16758,33916,10755,20116,5418,18220,4138,13930,3433,8025,2531,1365,673,1,4,0,0,0,0
3호선,충무로,0,0,0,0,0,0,0,0,4,0,1,0,3,0,2,0,2,0,4,0,6,0,3,0,3,0,5,0,5,0,7,0,4,0,5,0,2,0,3,0,2,0,0,0,0,0,0,0
3호선,동대입구,18,1,1917,1389,3239,9723,6226,23605,8901,64816,8022,39442,8504,37214,11911,32298,14611,23928,18899,24857,21823,20077,22072,16569,27891,17148,40012,19275,46911,20624,28054,13109,28494,7340,22189,6429,18367,5514,8014,4016,887,1438,0,92,0,0,0,0
3호선,약수,173,6,7332,1416,12243,6325,30456,18531,44172,39022,30975,25156,21761,17762,21532,16472,22726,17173,23825,18371,21390,19460,22177,21241,25514,26126,28204,30629,36757,42221,24333,34062,18716,22539,18313,21064,14362,20658,7008,13689,1095,5445,4,795,0,0,0,0
