호선명,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
3호선,독립문,135,8,5540,707,6851,5410,19461,17488,23620,22214,18042,21426,14752,23066,17304,19180,20062,19088,20361,22923,22884,21938,26014,19943,28238,18047,23542,18312,19911,21201,10147,17972,6967,11791,6129,10131,4606,10464,1314,6844,197,2997,2,970,0,0,0,0
3호선,경복궁(정부서울청사),77,0,2790,1648,6448,14585,17128,46403,25386,137191,24932,93405,22663,66729,29865,58184,37369,51675,45126,51280,51646,42870,61882,36873,78020,34726,87069,37015,120202,40730,51650,27751,38977,16198,42369,13894,30261,13607,11219,8055,1695,2355,0,46,0,0,0,0
3호선,안국,21,0,2167,2343,3834,19836,7184,107290,10711,121514,11541,77533,14143,62132,20363,63647,29991,55762,38949,55733,49482,51682,58525,41741,77484,36110,115589,33297,135966,31730,62661,16529,48538,8985,44396,6866,28346,6718,8434,4283,925,1197,0,1,0,0,0,0
3호선,종로3가,30,0,839,846,1361,5498,2023,13755,3535,51721,5396,54777,8359,38905,11188,33388,13243,32938,15849,33094,18434,31711,23626,28292,25102,25346,30801,24976,53052,25716,48441,16122,25104,7427,26453,5629,19322,4730,8390,3208,1047,1158,0,13,0,0,0,0
3호선,을지로3가,8,1,679,996,1440,7963,2409,30712,5278,79495,9333,41801,11293,21661,12158,18403,12300,16867,15551,18182,17743,15591,19901,15543,21437,15502,32472,16449,67176,18539,35608,11272,22383,5580,21295,4170,16490,3567,8275,2458,1436,602,0,3,0,0,0,0
3호선,충무로,0,0,0,0,0,0,1,0,2,0,1,0,0,0,5,0,3,0,2,0,3,0,8,0,11,0,7,0,8,0,4,0,2,0,1,0,2,0,7,0,3,0,0,0,0,0,0,0
3호선,동대입구,30,7,1660,1176,3000,7949,5880,20409,9443,78295,8871,43967,9497,45018,13560,36501,15078,26365,20067,31686,21602,22136,25765,18010,33612,17119,50927,20782,51323,25477,29373,13866,32782,7241,24388,7021,18788,5965,6632,4702,695,1673,0,74,0,0,0,0
3호선,약수,108,6,6385,1000,11861,5944,31289,18222,46738,38767,32539,27099,23556,18788,22197,17645,24295,17712,25796,19692,23556,20629,24486,22459,25375,27219,29841,32896,38468,46354,24064,36392,19105,23511,19117,22754,15569,21571,6973,13881,1071,5231,2,792,0,0,0,0
3호선,금호,56,2,4589,565,10909,2962,31072,5023,43309,8674,28363,7739,18159,7190,16088,7438,14863,8814,14836,10896,12173,11844,11541,14975,12050,17713,13622,22309,13113,31944,9079,26776,6340,18770,5471,17549,4370,16296,2027,10133,352,2834,0,0,0,0,0,0
3호선,옥수,142,1,3307,1075,9985,4456,28101,8166,38668,17829,26328,12618,18646,10468,17850,11556,16934,13455,18543,15975,16348,16941,16068,19372,17424,22086,19035,26126,20242,36668,13352,31152,9986,21332,8774,19929,6582,20181,2975,10880,455,2988,0,0,0,0,0,0
3호선,압구정,68,0,3264,2430,8991,29913,19157,52305,32840,156760,25041,164645,28850,84682,38059,73986,46526,59512,51424,65513,62027,62614,68656,56864,80123,54510,95306,63038,147234,72730,110335,49634,85096,23018,61364,17548,48790,15768,21745,9240,1983,3475,4,366,0,0,0,0
3호선,신사,72,6,5084,1564,7914,21443,14542,44781,22876,119471,21086,141625,21727,77857,28163,60846,35025,63729,44019,70116,52135,65927,62236,61471,71562,61280,92681,67808,151779,89765,115418,60732,79905,28048,85245,19465,73682,16587,31066,11996,3814,3911,0,9,0,0,0,0
3호선,잠원,6,1,1632,742,6302,5771,20495,7667,27251,11050,17799,8030,11932,6339,11818,6379,11085,7501,10642,9438,9549,9183,9922,10293,11485,11831,13162,14734,13475,20232,8274,17203,5188,11625,4891,11264,3675,13815,1204,7289,161,2245,0,3,0,0,0,0
3호선,고속터미널,155,1,6905,4517,8490,38613,31868,59623,57240,95027,65515,115155,72392,109279,88212,130596,105335,122773,118731,126162,127178,133145,144776,141221,160268,142393,182675,148415,179922,163478,161708,114964,175003,68540,125644,50553,83246,37385,30511,20323,2906,3314,1,2,1,1,0,0
